5640|Blanden|Lucy|32|40|14|20|39
5440|Thraves|Tom|30|20|19|21|38
5555|Mars|Adam|15|15|20|25|37
5940|Clock|May|20|18|30|10|36
5241|Ball|Cat|39|18|39|15|37
5643|Brendon|Drain|33|30|39|25|20
5650|Mews|Bottle|40|39|38|20|21
5651|Tail|Rat|7|15|14|11|10
5700|Apple|Snake|10|20|24|25|40
5567|Dog|Pigeon|21|10|20|20|32
6640|Blanden|Lucy|32|40|14|20|39
6440|Thraves|Tom|30|20|19|21|38
6555|Mars|Adam|15|15|20|25|37
6940|Clock|May|20|18|30|10|36
6241|Ball|Cat|39|18|39|15|37
6643|Brendon|Drain|33|30|39|25|20
6650|Mews|Bottle|40|39|38|20|21
6651|Tail|Rat|7|15|14|11|10
6700|Apple|Snake|10|20|24|25|40
6567|Dog|Pigeon|21|10|20|20|32
